nombre,camara,legislatura,sigla_partido,tipo_registro,fuente_url,fuente_tipo,metodo,nivel_confianza
"Lezama, Germán",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-08-29&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Long, Ruperto",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"López, Sara",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-07-18&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Lorier, Eduardo",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Mahía, José Carlos",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-11-07&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Martorell Librán, Abayubá",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-11-07&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Máspoli Bianchi, Juan",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2009-09-08&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Mazzulo, Carlos",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-10-10&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Michelini, Rafael",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Moreira, Carlos",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Muguruza, Eduardo",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2009-01-13&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Mujica, José",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Nicolini, Leonardo",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-01&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Nin Novoa, Rodolfo",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Núñez, Manuel",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-08-16&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Obispo, Ruben",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-09-26&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Oliver, Luis",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-07-04&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Opertti Badán, Didier",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2008-10-21&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Penadés, Gustavo",senado,46,PN,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Peña Fernández, Daniel",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/camarasycomisiones/legisladores/5165,manual,biografia,alto
"Percovich, Margarita",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-01&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Perdomo Gamarra, Alberto",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2007-07-31&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Pérez Antón, Romeo",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2007-07-03&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Pintado, Enrique",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Ramela, Carlos",senado,46,PC,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-10-10&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Ríos, Eduardo",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-03-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Rodríguez, Ambrosio",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-07-05&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Romero Cabrera, Jorge",senado,46,PN,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-08-16&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Rosadilla, Luis",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-12-06&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Rubio, Enrique",senado,46,FA,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Salsamendi, Javier",senado,46,FA,integrante_temporal,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2006-11-07&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
"Sanguinetti, Julio María",senado,46,PC,titular,https://parlamento.gub.uy/sobreelparlamento/integracionhistorica/josn?Cpo_Codigo=S&Quienes=I&Fecha%5Bdate%5D=2005-02-15&Fecha%5Btime%5D=00%3A00&_format=json,dataset,dataset,confirmado
